east,north,au
617459.67,595593.26,15
617415.42,595616.53,54
617326.91,595663.07,70
617282.65,595686.34,10
617194.14,595732.89,10
617149.89,595756.16,9
617105.64,595779.43,21
617061.38,595802.7,14
617017.13,595825.97,13
616972.87,595849.24,16
616928.62,595872.51,39
616884.36,595895.78,16
616840.11,595919.05,15
617767.33,594889.17,11
617723.07,594912.44,23
617678.82,594935.71,74
617634.56,594958.98,14
617590.31,594982.25,23
617546.05,595005.52,21
617501.8,595028.79,54
617457.55,595052.06,53
617413.29,595075.33,19
617369.04,595098.6,13
617324.78,595121.88,16
617280.53,595145.15,21
617236.27,595168.42,26
617192.02,595191.69,48
617147.76,595214.96,118
617103.51,595238.23,41
616970.74,595308.04,25
616926.49,595331.31,21
616882.24,595354.58,26
616837.98,595377.86,28
616793.73,595401.13,39
616749.47,595424.4,64
616705.22,595447.67,19
616660.96,595470.94,20
616616.71,595494.21,52
616572.45,595517.48,19
621186.73,598921.01,9
621142.48,598944.28,6
621098.22,598967.55,8
621209.92,599179.97,68
621254.18,599156.7,3
621298.43,599133.43,9
617541.8,593923.13,8
617497.55,593946.4,6
617453.29,593969.67,21
617409.04,593992.94,5
617364.78,594016.21,5
617320.53,594039.48,8
617276.27,594062.75,4
617232.02,594086.02,4
617187.76,594109.29,13
617143.51,594132.56,30
617010.75,594202.38,0
616795.85,595942.32,11
616966.49,594225.65,50
616922.24,594248.92,358
616479.69,594481.63,18
616391.18,594528.17,159
616346.93,594551.44,8
616302.67,594574.71,9
616258.42,594597.98,13
616214.16,594621.25,34
616169.91,594644.52,12
616125.65,594667.79,19
621198.33,599050.49,48
618433.27,595081.3,20
618654.55,594964.95,20
618698.8,594941.68,16
618743.06,594918.41,14
618787.31,594895.14,19
618831.56,594871.87,15
619008.58,594778.78,16
619052.84,594755.51,16
619097.09,594732.24,18
619141.35,594708.97,12
619185.6,594685.7,12
626340,597026,0
626386,597000,2
626431,596973,7
626476,596947,0
626522,596920,0
626567,596894,0
626612,596868,9
626658,596841,2
626703,596815,2
626748,596788,2
626794,596762,0
626839,596736,0
626884,596709,63
626930,596683,0
626975,596656,0
627020,596630,0
627066,596604,14
627111,596577,0
625741,597864,0
625770,597835,11
625816,597821,6
625880,597785,0
625917,597758,0
625962,597732,0
626007,597705,0
626053,597679,0
626098,597653,94
626143,597626,0
626189,597600,0
626234,597573,0
626279,597547,0
626325,597521,0
626370,597494,0
626415,597468,0
626461,597441,0
626506,597415,0
626551,597389,0
626597,597362,0
626642,597336,0
626687,597310,0
626733,597283,0
626778,597257,0
623817,598009,0
623771,598035,3
623726,598062,0
623680,598088,0
623635,598115,0
623590,598141,0
623544,598167,0
623499,598194,0
623454,598220,0
623408,598247,0
623363,598273,0
626823,597230,0
626869,597204,0
626914,597178,0
626959,597151,0
627005,597125,0
627050,597098,0
627095,597072,0
627141,597046,0
627186,597019,0
627232,596993,0
627277,596966,0
624970,599037,19
625015,599021,13
625060,598988,4
625108,598958,13
625152,598936,17
625199,598897,11
625236,598883,170
625275,598864,107
625320,598830,48
625376,598812,88
625423,598770,85
625469,598744,7
625514,598718,117
625553,598698,48
625605,598665,40
625653,598641,162
625674,598612,17
625740,598593,450
625786,598573,28
625819,598548,36
625864,598520,109
625930,598480,9
625951,598449,2
626017,598454,0
626042,598416,5
626095,598385,0
626139,598348,3
626188,598329,0
626235,598312,0
626276,598275,0
626324,598250,0
626359,598237,163
626425,598189,0
626454,598170,0
626505,598144,0
626551,598118,0
626596,598091,0
626641,598065,0
626687,598038,0
626732,598012,5
626777,597986,5
625349,598342,221
625380,598319,111
625428,598288,128
625478,598256,148
625528,598228,31
625562,598211,17
625624,598170,36
625650,598148,11
625705,598124,4
625753,598092,37
625795,598071,3
625846,598042,0
625883,598024,8
625935,597989,0
625971,597960,0
626022,597940,1
626067,597913,3
626113,597880,5
626152,597867,44
626200,597838,3
626255,597818,6
626290,597786,3
626332,597755,3
626385,597738,0
626436,597710,3
626476,597676,0
625299,598361,280
625247,598388,1912
625206,598415,2751
625164,598440,36
625120,598466,184
625075,598493,415
625028,598524,127
624977,598549,77
624934,598573,304
624888,598599,105
624840,598633,203
624799,598655,14
624755,598676,57
624662,598731,15
624608,598758,14
624571,598784,19
624528,598820,7
624480,598837,12
624429,598868,8
624389,598890,2
624343,598901,4
624295,598942,5
624254,598969,0
624213,598997,5
624861,598858,4
624704,598702,14
624774,598188,12
624817,598165,6
624854,598135,9
625001,599738,5
624910,598100,26
624940,598075,229
624995,598052,64
625040,598025,24
625089,597993,10
625134,597974,47
625176,597946,96
625230,597922,44
625264,597895,61
625312,597867,318
625352,597845,108
625411,597812,130
625445,597782,39
625497,597765,39
625536,597736,1
625586,597707,2
625634,597681,0
625677,597655,37
625715,597633,10
625767,597601,24
625816,597577,3
625858,597551,41
625900,597525,37
625951,597490,45
625993,597470,10
626038,597445,38
626082,597419,72
626126,597393,3
626170,597366,6
626219,597339,27
626264,597314,8
626312,597286,0
626352,597260,0
626404,597234,11
626446,597207,6
626491,597181,0
626536,597157,1
624739,598212,4
624675,598236,14
624632,598263,0
624570,598289,2
624541,598319,3
624494,598342,73
624453,598367,2
624405,598395,2
624363,598420,4
624312,598450,967
624269,598474,2
624231,598502,53
624177,598528,8
624133,598550,5
624085,598581,5
624045,598604,0
623997,598625,12
623952,598659,3
623915,598687,40
623864,598710,0
623808,598736,8
624423,597909,9
624376,597927,10
624332,597952,41
624284,597980,27
624240,598006,0
624192,598031,0
624147,598059,0
